nombre_cancion;nombre_artista
Cantares;Joan Manuel Serrat
Cuando tu no estas;Raphael
Porque yo te amo;Sandro
Mis manos en tu cintura;Adamo 
Tu nombre me sabe a yerba;Joan Manuel Serrat
Un mechon de tu cabello;Adamo
Mi gran noche;Raphael
Corazon contento;Palito Ortega 
La novia;Antonio Prieto
Perdoname;Duo dinamico
Asi es Carolita;Leonardo Fabio
Por muchas razones te quiero;Palito Ortega
Mi amor es para ti;Los Solitarios
Vive;Jose Maria Napoleon
Rosas en el mar;Massiel
La noche;Adamo
Una manana;Jose Jose
La vida sigue igual;Julio Iglesias
Adoro;Armando Manzanero
Despues de tanto;Jose Maria Napoleon
Estas cosas del amor;Leonardo Favio
Hablemos del amor;Raphael
Dame felicidad;Enrique Guzman
Ella ya me olvido;Leonardo Favio
Cierro mis ojos;Raphael
Mi tristeza es mia y nada mas;Leonardo Favio
Fuiste mia un verano;Leonardo Favio
Esos ojitos negros;Duo Dinamico
Penelope;Joan Manuel Serrat
Yo soy aquel;Raphael
